ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0002049350-24-000001	021-533860               	31-DEC-2024		X0708	D	LIVE		
0001920978-24-000001	021-441347               	31-DEC-2024		X0708	D/A	LIVE		
0002050421-24-000001	021-533859               	31-DEC-2024		X0708	D	LIVE		
0002050433-24-000001	021-533858               	31-DEC-2024		X0708	D	LIVE		
0001679721-24-000001	021-270050               	31-DEC-2024		X0708	D/A	LIVE		
0002050447-24-000001	021-533857               	31-DEC-2024		X0708	D	LIVE		
0001963602-24-000001	021-495524               	31-DEC-2024		X0708	D/A	LIVE		
0002050457-24-000001	021-533856               	31-DEC-2024		X0708	D	LIVE		
0002050393-24-000001	021-533855               	31-DEC-2024		X0708	D	LIVE		
0002050459-24-000001	021-533854               	31-DEC-2024		X0708	D	LIVE		
0002050481-24-000001	021-533853               	31-DEC-2024		X0708	D	LIVE		
0001548214-24-000002	021-178182               	31-DEC-2024		X0708	D/A	LIVE		
0002050462-24-000001	021-533852               	31-DEC-2024		X0708	D	LIVE		
0001634574-24-000002	021-237084               	31-DEC-2024		X0708	D/A	LIVE		
0002049503-24-000002	021-533851               	31-DEC-2024		X0708	D	LIVE		
0002050464-24-000001	021-533850               	31-DEC-2024		X0708	D	LIVE		
0001501320-24-000002	021-178180               	31-DEC-2024		X0708	D/A	LIVE		
0002049129-24-000001	021-533849               	31-DEC-2024		X0708	D	LIVE		
0002049488-24-000001	021-533848               	31-DEC-2024		X0708	D	LIVE		
0002050461-24-000001	021-533847               	31-DEC-2024		X0708	D	LIVE		
0002032327-24-000001	021-533846               	31-DEC-2024		X0708	D	LIVE		
0002050460-24-000001	021-533845               	31-DEC-2024		X0708	D	LIVE		
0002050437-24-000001	021-533844               	31-DEC-2024		X0708	D	LIVE		
0002050142-24-000001	021-533843               	31-DEC-2024		X0708	D	LIVE		
0002050441-24-000001	021-533842               	31-DEC-2024		X0708	D	LIVE		
0002050024-24-000001	021-533841               	31-DEC-2024		X0708	D	LIVE		
0001881845-24-000001	021-533840               	31-DEC-2024		X0708	D	LIVE		
0002050210-24-000001	021-533839               	31-DEC-2024		X0708	D	LIVE		
0002049990-24-000002	021-533838               	31-DEC-2024		X0708	D	LIVE		
0001715181-24-000002	021-524608               	31-DEC-2024		X0708	D/A	LIVE		
0001693928-24-000002	021-277860               	31-DEC-2024		X0708	D/A	LIVE		
0002045272-24-000004	021-530074               	31-DEC-2024		X0708	D/A	LIVE		
0002050339-24-000001	021-533837               	31-DEC-2024		X0708	D	LIVE		
0002031522-24-000010	021-519657               	31-DEC-2024		X0708	D/A	LIVE		
0002050426-24-000001	021-533836               	31-DEC-2024		X0708	D	LIVE		
0002049747-24-000001	021-533835               	31-DEC-2024		X0708	D	LIVE		
0002027690-24-000002	021-519720               	31-DEC-2024		X0708	D/A	LIVE		
0002049503-24-000001	021-533834               	31-DEC-2024		X0708	D	LIVE		
0002036524-24-000001	021-533833               	31-DEC-2024		X0708	D	LIVE		
0002049990-24-000001	021-533832               	31-DEC-2024		X0708	D	LIVE		
0001576079-24-000001	021-196184               	31-DEC-2024		X0708	D/A	LIVE		
0002050449-24-000001	021-533831               	31-DEC-2024		X0708	D	LIVE		
0001948123-24-000006	021-533830               	31-DEC-2024		X0708	D	LIVE		
0002048552-24-000001	021-533829               	31-DEC-2024		X0708	D	LIVE		
0001948123-24-000005	021-533828               	31-DEC-2024		X0708	D	LIVE		
0001921177-24-000003	021-467870               	31-DEC-2024		X0708	D/A	LIVE		
0001825295-24-000006	021-533827               	31-DEC-2024		X0708	D	LIVE		
0001948123-24-000004	021-533826               	31-DEC-2024		X0708	D	LIVE		
0001948123-24-000003	021-533825               	31-DEC-2024		X0708	D	LIVE		
0001212214-24-000001	021-141004               	31-DEC-2024		X0708	D/A	LIVE		
0002048771-24-000002	021-533730               	31-DEC-2024		X0708	D/A	LIVE		
0001921171-24-000002	021-468050               	31-DEC-2024		X0708	D/A	LIVE		
0001948123-24-000002	021-533824               	31-DEC-2024		X0708	D	LIVE		
0002050476-24-000001	021-533823               	31-DEC-2024		X0708	D	LIVE		
0001948123-24-000001	021-533822               	31-DEC-2024		X0708	D	LIVE		
0002013722-24-000002	021-533821               	31-DEC-2024		X0708	D	LIVE		
0001989817-24-000063	021-533820               	31-DEC-2024		X0708	D	LIVE		
0001997304-24-000003	021-494562               	31-DEC-2024		X0708	D/A	LIVE		
0002045670-24-000001	021-533819               	31-DEC-2024		X0708	D	LIVE		
0002048556-24-000001	021-533818               	31-DEC-2024		X0708	D	LIVE		
0002050488-24-000001	021-533817               	31-DEC-2024		X0708	D	LIVE		
0002047473-24-000001	021-533816               	31-DEC-2024		X0708	D	LIVE		
0001598715-24-000001	021-533815               	31-DEC-2024		X0708	D	LIVE		
0002047480-24-000001	021-533814               	31-DEC-2024		X0708	D	LIVE		
0002050452-24-000002	021-533813               	31-DEC-2024		X0708	D	LIVE		
0001585151-24-000002	021-201908               	31-DEC-2024		X0708	D/A	LIVE		
0002050208-24-000001	021-533812               	31-DEC-2024		X0708	D	LIVE		
0001617125-24-000003	021-532231               	31-DEC-2024		X0708	D/A	LIVE		
0000898432-24-001050	021-533811               	31-DEC-2024	3714	X0708	D	LIVE		
0002046343-24-000001	021-533810               	31-DEC-2024		X0708	D	LIVE		
0002047936-24-000002	021-533809               	31-DEC-2024		X0708	D	LIVE		
0001982139-24-000002	021-533808               	31-DEC-2024		X0708	D	LIVE		
0002047936-24-000001	021-533807               	31-DEC-2024		X0708	D	LIVE		
0001315863-24-000894	021-533806               	31-DEC-2024		X0708	D	LIVE		
0002050252-24-000001	021-533805               	31-DEC-2024		X0708	D	LIVE		
0002050469-24-000001	021-533804               	31-DEC-2024		X0708	D	LIVE		
0001837632-24-000001	021-533803               	31-DEC-2024		X0708	D	LIVE		
0002050427-24-000001	021-533802               	31-DEC-2024		X0708	D	LIVE		
0002050193-24-000001	021-533801               	31-DEC-2024		X0708	D	LIVE		
0002035739-24-000001	021-533800               	31-DEC-2024		X0708	D	LIVE		
0002007006-24-000002	021-501622               	31-DEC-2024		X0708	D/A	LIVE		
0001879128-24-000004	021-501166               	31-DEC-2024		X0708	D/A	LIVE		
0002007022-24-000002	021-501662               	31-DEC-2024		X0708	D/A	LIVE		
0002050360-24-000001	021-533799               	31-DEC-2024		X0708	D	LIVE		
0002050397-24-000001	021-533798               	31-DEC-2024		X0708	D	LIVE		
0002050398-24-000001	021-533797               	31-DEC-2024		X0708	D	LIVE		
0002049310-24-000003	021-501557               	31-DEC-2024		X0708	D/A	LIVE		
0002050399-24-000001	021-533796               	31-DEC-2024		X0708	D	LIVE		
0002050400-24-000001	021-533795               	31-DEC-2024		X0708	D	LIVE		
0002050401-24-000001	021-533794               	31-DEC-2024		X0708	D	LIVE		
0002050425-24-000001	021-533793               	31-DEC-2024		X0708	D	LIVE		
0002050402-24-000001	021-533792               	31-DEC-2024		X0708	D	LIVE		
0001437749-24-038563	021-533791               	31-DEC-2024		X0708	D	LIVE		
0002050403-24-000001	021-533790               	31-DEC-2024		X0708	D	LIVE		
0001660933-24-000005	021-533789               	31-DEC-2024		X0708	D	LIVE		
0002050404-24-000001	021-533788               	31-DEC-2024		X0708	D	LIVE		
0002050359-24-000001	021-533787               	31-DEC-2024		X0708	D	LIVE		
0001986019-24-000009	021-486022               	31-DEC-2024		X0708	D/A	LIVE		
0001986019-24-000008	021-505700               	31-DEC-2024		X0708	D/A	LIVE		
0002050424-24-000001	021-533786               	31-DEC-2024		X0708	D	LIVE		
0001746139-24-000003	021-533785               	31-DEC-2024		X0708	D	LIVE		
0002050180-24-000001	021-533784               	31-DEC-2024		X0708	D	LIVE		
0002050266-24-000001	021-533783               	31-DEC-2024		X0708	D	LIVE		
0001477932-24-008403	021-533782               	31-DEC-2024	7812	X0708	D	LIVE		
0002050380-24-000001	021-533781               	31-DEC-2024		X0708	D	LIVE		
0002050290-24-000001	021-533780               	31-DEC-2024		X0708	D	LIVE		
0002050228-24-000001	021-533779               	31-DEC-2024		X0708	D	LIVE		
0002029600-24-000002	021-518130               	31-DEC-2024		X0708	D/A	LIVE		
0000945621-24-001038	021-533778               	31-DEC-2024		X0708	D	LIVE		
0000945621-24-001037	021-533777               	31-DEC-2024		X0708	D	LIVE		
0002049904-24-000001	021-533776               	31-DEC-2024		X0708	D	LIVE		
0002050363-24-000001	021-533775               	31-DEC-2024		X0708	D	LIVE		
0002049233-24-000002	021-533774               	31-DEC-2024		X0708	D	LIVE		
0002024679-24-000001	021-533773               	31-DEC-2024		X0708	D	LIVE		
0001668333-24-000002	021-533772               	31-DEC-2024		X0708	D	LIVE		
0002050391-24-000001	021-533771               	31-DEC-2024		X0708	D	LIVE		
0002042964-24-000002	021-533770               	31-DEC-2024		X0708	D	LIVE		
0002032412-24-000002	021-533769               	31-DEC-2024		X0708	D	LIVE		
0002050417-24-000001	021-533751               	31-DEC-2024		X0708	D	LIVE		
0002050415-24-000001	021-533753               	31-DEC-2024		X0708	D	LIVE		
0002050371-24-000001	021-533755               	31-DEC-2024		X0708	D	LIVE		
0000911420-24-000303	021-533750               	31-DEC-2024		X0708	D	LIVE		
0001958994-24-000002	021-469876               	31-DEC-2024		X0708	D/A	LIVE		
0001839376-24-000002	021-386090               	31-DEC-2024		X0708	D/A	LIVE		
0001583168-24-000001	021-207545               	31-DEC-2024		X0708	D/A	LIVE		
0002049792-24-000002	021-533739               	31-DEC-2024		X0708	D	LIVE		
0002028171-24-000001	021-533740               	31-DEC-2024		X0708	D	LIVE		
0001482773-24-000001	021-499757               	31-DEC-2024		X0708	D/A	LIVE		
0002050281-24-000001	021-533731               	31-DEC-2024		X0708	D	LIVE		
0002050361-24-000001	021-533768               	31-DEC-2024		X0708	D	LIVE		
0002049374-24-000002	021-533089               	31-DEC-2024		X0708	D/A	LIVE		
